Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),COSPAR Number,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
Starlink-1606 ,46144,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AD,18/08/2020,,,
Starlink-1607 ,46145,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AE,18/08/2020,,,
Starlink-1608 ,46146,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AF,18/08/2020,,,
Starlink-1610 ,46163,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AY,18/08/2020,,,
Starlink-1611 ,46147,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AG,18/08/2020,,,
Starlink-1612 ,46164,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AZ,18/08/2020,,,
Starlink-1613 ,46165,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057BA,18/08/2020,,,
Starlink-1614 ,46124,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057H,18/08/2020,,,
Starlink-1615 ,46166,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057BB,18/08/2020,,,
Starlink-1616 ,46148,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AH,18/08/2020,,,
Starlink-1617 ,46350,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AB,03/09/2020,4,,
Starlink-1618 ,46125,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057J,18/08/2020,,,
Starlink-1619 ,46126,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057K,18/08/2020,,,
Starlink-1620 ,46149,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AJ,18/08/2020,,,
Starlink-1621 ,46127,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057L,18/08/2020,,,
Starlink-1622 ,46128,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057M,18/08/2020,,,
Starlink-1623 ,46129,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057N,18/08/2020,,,
Starlink-1624 ,46130,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057P,18/08/2020,,,
Starlink-1625 ,46131,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057Q,18/08/2020,,,
Starlink-1626 ,46167,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057BC,18/08/2020,,,
Starlink-1627 ,46168,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057BD,18/08/2020,,,
Starlink-1628 ,46169,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057BE,18/08/2020,,,
Starlink-1629 ,46150,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AK,18/08/2020,,,
Starlink-1630 ,46132,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057R,18/08/2020,,,
Starlink-1631 ,46151,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AL,18/08/2020,,,
Starlink-1632 ,46170,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057BF,18/08/2020,,,
Starlink-1633 ,46171,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057BG,18/08/2020,,,
Starlink-1634 ,46152,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AM,18/08/2020,,,
Starlink-1635 ,46172,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057BH,18/08/2020,,,
Starlink-1636 ,46153,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AN,18/08/2020,,,
Starlink-1637 ,46133,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057S,18/08/2020,,,
Starlink-1638 ,46134,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057T,18/08/2020,,,
Starlink-1639 ,46135,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057U,18/08/2020,,,
Starlink-1640 ,46173,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057BJ,18/08/2020,,,
Starlink-1641 ,46174,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057BK,18/08/2020,,,
Starlink-1642 ,46154,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AP,18/08/2020,,,
Starlink-1643 ,46136,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057V,18/08/2020,,,
Starlink-1644 ,46532,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070A,06/10/2020,4,,
Starlink-1646,46351,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AC,03/09/2020,4,,
Starlink-1648 ,46533,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070B,06/10/2020,4,,
Starlink-1649 ,46552,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070W,06/10/2020,4,,
Starlink-1650 ,46573,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AT,06/10/2020,4,,
Starlink-1651,46366,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AT,03/09/2020,4,,
Starlink-1652,46367,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AU,03/09/2020,4,,
Starlink-1653,46352,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AD,03/09/2020,4,,
Starlink-1654 ,46326,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062B,03/09/2020,4,,
Starlink-1656,46353,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AE,03/09/2020,4,,
Starlink-1657,46354,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AF,03/09/2020,4,,
Starlink-1658,46368,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AV,03/09/2020,4,,
Starlink-1659 ,46534,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070C,06/10/2020,4,,
Starlink-1660 ,46574,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AU,06/10/2020,4,,
Starlink-1661,46355,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AG,03/09/2020,4,,
Starlink-1662,46369,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AW,03/09/2020,4,,
Starlink-1663 ,46535,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070D,06/10/2020,4,,
Starlink-1664 ,46553,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070X,06/10/2020,4,,
Starlink-1665,46356,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AH,03/09/2020,4,,
Starlink-1666,46357,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AJ,03/09/2020,4,,
Starlink-1667 ,46155,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-057AQ,18/08/2020,,,
Starlink-1668 ,46536,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070E,06/10/2020,4,,
Starlink-1670,46370,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AX,03/09/2020,4,,
Starlink-1671 ,46554,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070Y,06/10/2020,4,,
Starlink-1672 ,46537,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070F,06/10/2020,4,,
Starlink-1673,46327,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062C,03/09/2020,4,,
Starlink-1674 ,46555,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070Z,06/10/2020,4,,
Starlink-1675 ,46575,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AV,06/10/2020,4,,
Starlink-1676 ,46556,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AA,06/10/2020,4,,
Starlink-1677 ,46576,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AW,06/10/2020,4,,
Starlink-1678 ,46538,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070G,06/10/2020,4,,
Starlink-1679 ,46557,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AB,06/10/2020,4,,
Starlink-1680 ,46558,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AC,06/10/2020,4,,
Starlink-1681 ,46559,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AD,06/10/2020,4,,
Starlink-1682 ,46577,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AX,06/10/2020,4,,
Starlink-1683 ,46578,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AY,06/10/2020,4,,
Starlink-1684 ,46539,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070H,06/10/2020,4,,
Starlink-1685 ,46540,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070J,06/10/2020,4,,
Starlink-1686,46328,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062D,03/09/2020,4,,
Starlink-1687 ,46541,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070K,06/10/2020,4,,
Starlink-1688,46371,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AY,03/09/2020,4,,
Starlink-1689,46372,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AZ,03/09/2020,4,,
Starlink-1690,46358,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AK,03/09/2020,4,,
Starlink-1691 ,46373,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BA,03/09/2020,4,,
Starlink-1692 ,46542,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070L,06/10/2020,4,,
Starlink-1693 ,46543,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070M,06/10/2020,4,,
Starlink-1694 ,46544,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070N,06/10/2020,4,,
Starlink-1695,46329,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062E,03/09/2020,4,,
Starlink-1696 ,46545,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070P,06/10/2020,4,,
Starlink-1697 ,46546,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070Q,06/10/2020,4,,
Starlink-1698 ,46547,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070R,06/10/2020,4,,
Starlink-1699 ,46548,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070S,06/10/2020,4,,
Starlink-1700 ,46549,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070T,06/10/2020,4,,
Starlink-1701 ,46550,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070U,06/10/2020,4,,
Starlink-1702 ,46551,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070V,06/10/2020,4,,
Starlink-1705 ,46579,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AZ,06/10/2020,4,,
Starlink-1706 ,46560,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AE,06/10/2020,4,,
Starlink-1707,46359,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AL,03/09/2020,4,,
Starlink-1708 ,46580,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BA,06/10/2020,4,,
Starlink-1709 ,46561,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AF,06/10/2020,4,,
Starlink-1710,46330,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062F,03/09/2020,4,,
Starlink-1711,46374,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BB,03/09/2020,4,,
Starlink-1712 ,46581,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BB,06/10/2020,4,,
Starlink-1713,46360,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AM,03/09/2020,4,,
Starlink-1714 ,46562,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AG,06/10/2020,4,,
Starlink-1715 ,46671,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073B,18/10/2020,4,,https://spaceflightnow.com/2020/10/18/spacex-launches-another-batch-of-starlink-satellites/
Starlink-1716 ,46672,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073C,18/10/2020,4,,
Starlink-1717 ,46673,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073D,18/10/2020,4,,
Starlink-1718 ,46674,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073E,18/10/2020,4,,
Starlink-1719 ,46331,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062G,03/09/2020,4,,
Starlink-1720 ,46675,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073F,18/10/2020,4,,
Starlink-1721,46332,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062H,03/09/2020,4,,
Starlink-1722,46361,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AN,03/09/2020,4,,
Starlink-1723,46333,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062J,03/09/2020,4,,
Starlink-1724,46375,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BC,03/09/2020,4,,
Starlink-1725,46334,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062K,03/09/2020,4,,
Starlink-1726 ,46362,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AP,03/09/2020,4,,
Starlink-1727,46335,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062L,03/09/2020,4,,
Starlink-1728 ,46582,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BC,06/10/2020,4,,
Starlink-1729 ,46583,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BD,06/10/2020,4,,
Starlink-1730 ,46563,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AH,06/10/2020,4,,
Starlink-1731 ,46676,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073G,18/10/2020,4,,
Starlink-1732 ,46584,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BE,06/10/2020,4,,
Starlink-1733 ,46564,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AJ,06/10/2020,4,,
Starlink-1734,46325,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062A,03/09/2020,4,,
Starlink-1735 ,46565,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AK,06/10/2020,4,,
Starlink-1736 ,46585,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BF,06/10/2020,4,,
Starlink-1737 ,46586,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BG,06/10/2020,4,,
Starlink-1738 ,46336,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062M,03/09/2020,4,,
Starlink-1739,46363,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AQ,03/09/2020,4,,
Starlink-1740 ,46566,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AL,06/10/2020,4,,
Starlink-1741 ,46567,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AM,06/10/2020,4,,
Starlink-1742,46376,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BD,03/09/2020,4,,
Starlink-1743 ,46568,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AN,06/10/2020,4,,
Starlink-1744 ,46587,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BH,06/10/2020,4,,
Starlink-1745,46377,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BE,03/09/2020,4,,
Starlink-1746 ,46588,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BJ,06/10/2020,4,,
Starlink-1747 ,46569,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AP,06/10/2020,4,,
Starlink-1748 ,46570,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AQ,06/10/2020,4,,
Starlink-1749 ,46589,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BK,06/10/2020,4,,
Starlink-1750,46337,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062N,03/09/2020,4,,
Starlink-1751 ,46378,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BF,03/09/2020,4,,
Starlink-1752,46338,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062P,03/09/2020,4,,
Starlink-1753 ,46571,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070AR,06/10/2020,4,,
Starlink-1754 ,46590,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BL,06/10/2020,4,,
Starlink-1755 ,46591,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-070BM,06/10/2020,4,,
Starlink-1756,46379,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BG,03/09/2020,4,,
Starlink-1757,46339,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062Q,03/09/2020,4,,
Starlink-1758,46380,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BH,03/09/2020,4,,
Starlink-1759,46340,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062R,03/09/2020,4,,
Starlink-1760 ,46341,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062S,03/09/2020,4,,
Starlink-1762,46342,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062T,03/09/2020,4,,
Starlink-1763,46364,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062AR,03/09/2020,4,,
Starlink-1764,46343,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062U,03/09/2020,4,,
Starlink-1765,46344,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062V,03/09/2020,4,,
Starlink-1766 ,46677,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073H,18/10/2020,4,,
Starlink-1767,46345,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062W,03/09/2020,4,,
Starlink-1768,46381,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BJ,03/09/2020,4,,
Starlink-1769,46382,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BK,03/09/2020,4,,
Starlink-1770 ,46383,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BL,03/09/2020,4,,
Starlink-1771,46384,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-062BM,03/09/2020,4,,
Starlink-1773 ,46679,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073K,18/10/2020,4,,
Starlink-1774 ,46680,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073L,18/10/2020,4,,
Starlink-1775 ,46681,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073M,18/10/2020,4,,
Starlink-1776 ,46682,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073N,18/10/2020,4,,
Starlink-1777 ,47122,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-088A,24/11/2020,4,,
Starlink-1778 ,46683,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073P,18/10/2020,4,,
Starlink-1779 ,47123,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-088B,24/11/2020,4,,
Starlink-1780 ,46684,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073Q,18/10/2020,4,,
Starlink-1781 ,46685,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073R,18/10/2020,4,,
Starlink-1783 ,46686,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073S,18/10/2020,4,,
Starlink-1784 ,46687,USA,SpaceX,Commercial,Communications,,"548km × 561km, 53°",LEO,Non-Polar Inclined,95.6,260,2020-073T,18/10/2020,4,,
