Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),International Designator,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
SPROUT,39770,Japan,Nihon University,Civil,Technology Development,,"614km × 629km, 97.87°",LEO,Sun-Synchronous,97.13,7,,24/05/2014,,,
SRMSat,37841,India,SRM University,Civil,Technology Development,,"850km × 868km, 20°",LEO,Non-Polar Inclined,102.1,11,,12/10/2011,1,,To build a nanosatellite with a mass less than 10kg; to be launched by PSLV and to estimate the amount for atmospheric greenhouse gases; to provide hands on experience to the student and the faculty of SRM University in building small satellite; to develop a nanosatellite bus.
SSRS-1,44704,Sudan,Government of Sudan,Government,Earth Observation,Optical Imaging,"485km × 505km, 97.5°",LEO,Sun-Synchronous,94.5,50,,03/11/2019,,,Sudan's first satellite. Both government and military purposes.
SSOT,38011,Chile,Chilean Air Force,Government/Military,Earth Observation,Optical Imaging,"622km × 624km, 98°",LEO,Sun-Synchronous,97.2,117,,17/12/2011,,,"Extremely high-quality satellite images with applications such as mapping, agriculture, town planning, and natural resource, risk and disaster management."
SSTL-S1-4,43618,United Kingdom,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,Optical Imaging,"574km × 591km, 97.8°",LEO,Sun-Synchronous,96.3,440,,16/09/2018,,,"Will supply high-resolution imagery from the new satellite to 21AT, a company founded in China and now based in Singapore."
ST-2,37606,Singapore/Taiwan,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,Commercial,Communications,,"35783km × 35791km, 0.02°",GEO,,1436.12,"5,090",,20/05/2011,15,,"Will replace ST1. Six antennas, 41 Ku-band tarnsponders and 10 C-band transponders."
Star 1 C1,32293,Brazil,Embratel Star One,Commercial,Communications,,"35703km × 35778km, 0.03°",GEO,,1436,"4,100",,14/11/2007,15,,"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries."
Star 1 C2,32768,Brazil,Embratel Star One,Commercial,Communications,,"35776km × 35796km, 0.06°",GEO,,1436.1,"4,100",,18/04/2008,,,"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries."
Star 1 C3,38991,Brazil,Embratel Star One,Commercial,Communications,,"35791km × 35848km, 0.02°",GEO,,1437.78,"3,225",,10/11/2012,15,,"28 C-band, 16 Ku-band, entire South American region."
Star 1 C4,40733,Brazil,Embratel Star One,Commercial,Communications,,"35786km × 35801km, 0°",GEO,,1436.1,"5,634",,15/07/2015,15,,48 transponders.
Star 1 D1,41904,Brazil,Embratel Star One,Commercial,Communications,,"35741km × 35777km, 0°",GEO,,1434.7,"6,433",,21/12/2016,15,,"Video and radio broadcasters, Internet service providers and direct-to-home television programming, satellite telephone calls, and high-speed data transmissions over Brazil, Mexico and other parts of Latin America."
Starlink-1240,45194,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.3,227,,17/02/2020,,,
StarLink Demo 1,43216,USA,SpaceX,Commercial,Communications,,"500km × 516km, 97.4°",LEO,Sun-Synchronous,94.7,20,,22/02/2018,2,,"Testbeds for SpaceX's StarLink Internet broadband fleet - possibly over 7,000 satellites in constellation."
Starlink-1007,44713,USA,SpaceX,Commercial,Communications,,"559km × 561km, 53°",LEO,Non-Polar Inclined,95.9,227,,11/11/2019,,,Second launch of 60 satellites for SpaceX constellation.
Starlink-1008,44714,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1009,44715,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.5,227,,11/11/2019,,,
Starlink-1010,44716,USA,SpaceX,Commercial,Communications,,"533km × 535km, 53°",LEO,Non-Polar Inclined,95.3,227,,11/11/2019,,,
Starlink-1011,44717,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1012,44718,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1013,44719,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1014,44720,USA,SpaceX,Commercial,Communications,,"496km × 506km, 53°",LEO,Non-Polar Inclined,94.6,227,,11/11/2019,,,
Starlink-1015,44721,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1016,44722,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1017,44723,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1019,44724,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1020,44725,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1021,44726,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1022,44727,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1023,44728,USA,SpaceX,Commercial,Communications,,"559km × 561km, 53°",LEO,Non-Polar Inclined,95.8,227,,11/11/2019,,,
Starlink-1024,44729,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1025,44730,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1026,44731,USA,SpaceX,Commercial,Communications,,"549km × 550km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1027,44732,USA,SpaceX,Commercial,Communications,,"569km × 571km, 53°",LEO,Non-Polar Inclined,96,227,,11/11/2019,,,
Starlink-1028,44733,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1029,44734,USA,SpaceX,Commercial,Communications,,"383km × 390km, 53°",LEO,Non-Polar Inclined,92.3,227,,11/11/2019,,,
Starlink-1030,44735,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1031,44736,USA,SpaceX,Commercial,Communications,,"554km × 556km, 53°",LEO,Non-Polar Inclined,95.7,227,,11/11/2019,,,
Starlink-1032,44737,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1033,44738,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1034,44757,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1035,44740,USA,SpaceX,Commercial,Communications,,"569km × 571km, 53°",LEO,Non-Polar Inclined,96,227,,11/11/2019,,,
Starlink-1036,44741,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1037,44742,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1038,44743,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1039,44744,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1041,44746,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1042,44747,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1043,44748,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1044,44749,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1045,44750,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1046,44751,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1047,44752,USA,SpaceX,Commercial,Communications,,"553km × 556km, 53°",LEO,Non-Polar Inclined,95.7,227,,11/11/2019,,,
Starlink-1048,44753,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1049,44754,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1050,44755,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1051,44756,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1052,44739,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1053,44758,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1054,44759,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1055,44760,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1056,44761,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1057,44762,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1058,44763,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1059,44764,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1060,44765,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1061,44766,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1062,44767,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1063,44768,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1064,44769,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1065,44770,USA,SpaceX,Commercial,Communications,,"547km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1066,44954,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1067,44771,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1068,44772,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,95.6,227,,11/11/2019,,,
Starlink-1069,44955,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1070,44956,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.6,227,,07/01/2020,,,
Starlink-1071,44934,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1072,44935,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1073,44914,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1074,44957,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.6,227,,07/01/2020,,,
Starlink-1075,44958,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,07/01/2020,,,
Starlink-1076,44959,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,07/01/2020,,,
Starlink1077,44960,USA,SpaceX,Commercial,Communications,,"320km × 321km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1078,44936,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1079,44937,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1080,44961,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1081,44962,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1082,44938,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1083,44939,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1084,44915,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1085,44963,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1086,44964,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,07/01/2020,,,
Starlink-1088,44966,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1089,44967,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,07/01/2020,,,
Starlink-1090,44968,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.3,227,,07/01/2020,,,
Starlink-1091,44940,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1092,44969,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.3,227,,07/01/2020,,,
Starlink-1093,44970,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1094,44941,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1095,44971,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,07/01/2020,,,
Starlink-1096,44942,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1097,44916,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1098,44917,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1099,44918,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1100,44943,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1101,44919,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.6,227,,07/01/2020,,,
Starlink-1102,44920,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1103,44921,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1104,44922,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1105,45218,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,91.2,227,,17/02/2020,,,
Starlink-1106,44923,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1107,44972,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,07/01/2020,,,
Starlink-1108,44944,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1109,44945,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1110,44946,USA,SpaceX,Commercial,Communications,,"548km × 550km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1111,44924,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1112,44925,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1113,44926,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1114,44927,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1115,44973,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.6,227,,07/01/2020,,,
Starlink-1116,44947,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.6,227,,07/01/2020,,,
Starlink-1117,44952,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1119,44928,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1120,45045,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1121,44929,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1122,44949,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,07/01/2020,,,
Starlink-1123,44930,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,07/01/2020,,,
Starlink-1124,44953,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1125,44950,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,07/01/2020,,,
Starlink-1126,44951,USA,SpaceX,Commercial,Communications,,"548km × 551km, 53°",LEO,Non-Polar Inclined,90.6,227,,07/01/2020,,,
Starlink-1127,45091,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1128,44931,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1129,45046,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1130,44932,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1131,45047,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1132,45044,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1133,45064,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1134,45048,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1135,45049,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1136,45089,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1137,45092,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1138,45178,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,91.2,227,,17/02/2020,,,
Starlink-1139,45065,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1140,45050,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1141,45051,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1142,45093,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1143,45179,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,91.2,227,,17/02/2020,,,
Starlink-1144,44933,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.4,227,,07/01/2020,,,
Starlink-1145,45066,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1146,45094,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1147,45095,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1148,45052,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1149,45079,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1150,45067,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1151,45081,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1152,45096,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1153,45080,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1154,45198,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,91.2,227,,17/02/2020,,,
Starlink-1155,45053,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1156,45054,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1157,45055,USA,SpaceX,Commercial,Communications,,"301km × 313km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1158,45056,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1159,45057,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1160,45082,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1161,45068,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1162,45058,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1163,45069,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1164,45070,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1165,45059,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1166,45060,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1167,45071,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1168,45072,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1169,45061,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1170,45073,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1171,45062,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1172,45074,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1173,45084,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1174,45075,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1175,45097,USA,SpaceX,Commercial,Communications,,"309km × 311km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
Starlink-1176,45090,USA,SpaceX,Commercial,Communications,,"549km × 551km, 53°",LEO,Non-Polar Inclined,90.5,227,,29/01/2020,,,
