Application,Class of Orbit,Date of Launch,Describe,Detailed Purpose,Equipment,Expected Lifetime (yrs),International Designator,Mass (kg),NORAD Number,Nation,Official Name,Operator,Orbit,Period (minutes),Type of Orbit,Users,_id
Earth Observation,GEO,19/03/2013,Expected to be operational before GEO 1.,Infrared Imaging,,12,,"4,500",39120,USA,USA 241,US Air Force,"35770km � 35790km, 6.45�",1436.11,,Military,60e5620d98df02cf3580068b
Earth Observation,GEO,20/01/2017,,Infrared Imaging,,12,,"4,500",41937,USA,USA 273,US Air Force,"35779km � 35785km, 5.9�",1436.11,,Military,60e5620d98df02cf3580068c
Earth Observation,GEO,19/01/2018,,Infrared Imaging,,12,,"4,500",43162,USA,USA 282,US Air Force,"35758km � 35815km, 6.3�",1436.1,,Military,60e5620d98df02cf3580068d
Space Observation,LEO,26/09/2010,Designed to track and detect other spacecraft in orbit.,,,,,"1,031",37168,USA,USA 216,Strategic Space Command/Space Surveillance Network,"631km � 634km, 98.02�",97.36,Sun-Synchronous,Military,60e5620d98df02cf3580068e
Earth Observation,LEO,03/02/2005,"ELINT system; wide area ocean surveillance, primarily for the Navy.",Electronic Intelligence,,,,"5,000",28537,USA,USA 181,National Reconnaissance Office (NRO)/US Navy,"1017km � 1203km, 63.4�",107.4,Non-Polar Inclined,Military,60e5620d98df02cf3580068f
Earth Observation,LEO,03/02/2005,"ELINT system; wide area ocean surveillance, primarily for the Navy.",Electronic Intelligence,,,,"5,000",28541,USA,USA 181,National Reconnaissance Office (NRO)/US Navy,"1016km � 1203km, 63.4�",107.4,Non-Polar Inclined,Military,60e5620d98df02cf35800690
Earth Observation,LEO,15/06/2007,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",Electronic Intelligence,,,,"5,000",31701,USA,USA 194,National Reconnaissance Office (NRO)/US Navy,"1015km � 1200km, 63.4�",107.4,Non-Polar Inclined,Military,60e5620d98df02cf35800691
Earth Observation,LEO,15/06/2007,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",Electronic Intelligence,,,,"5,000",31708,USA,USA 194,National Reconnaissance Office (NRO)/US Navy,"1016km � 1201km, 63.4�",107.4,Non-Polar Inclined,Military,60e5620d98df02cf35800692
Earth Observation,LEO,15/04/2011,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",Electronic Intelligence,,,,,37386,USA,USA 229,National Reconnaissance Office (NRO)/US Navy,"1019km � 1205km, 63.4�",107.5,Non-Polar Inclined,Military,60e5620d98df02cf35800693
Earth Observation,LEO,15/04/2011,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",Electronic Intelligence,,,,"5,000",37391,USA,USA 229,National Reconnaissance Office (NRO)/US Navy,"1014km � 1201km, 63.4�",107.4,Non-Polar Inclined,Military,60e5620d98df02cf35800694
Earth Observation,LEO,13/09/2012,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",Electronic Intelligence,,,,"6,500",38758,USA,USA 238,National Reconnaissance Office (NRO)/US Navy,"1012km � 1203km, 63.4�",107.4,Non-Polar Inclined,Military,60e5620d98df02cf35800695
Earth Observation,LEO,13/09/2012,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",Electronic Intelligence,,,,"6,500",38773,USA,USA 238,National Reconnaissance Office (NRO)/US Navy,"1012km � 1203km, 63.4�",107.4,Non-Polar Inclined,Military,60e5620d98df02cf35800696
Earth Observation,LEO,08/10/2015,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",Electronic Intelligence,,,,"6,500",40964,USA,USA 264,National Reconnaissance Office (NRO)/US Navy,"1014km � 1099km, 63.4�",107.4,Non-Polar Inclined,Military,60e5620d98df02cf35800697
Earth Observation,LEO,08/10/2015,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",Electronic Intelligence,,,,"6,500",40981,USA,USA 264,National Reconnaissance Office (NRO)/US Navy,"1014km � 1099km, 63.4�",107.4,Non-Polar Inclined,Military,60e5620d98df02cf35800698
Earth Observation,LEO,01/03/2017,,Electronic Intelligence,,,,"6,500",42058,USA,USA 274,National Reconnaissance Office (NRO)/US Navy,"1009km � 1204km, 63.4�",107.4,Non-Polar Inclined,Military,60e5620d98df02cf35800699
Earth Observation,LEO,01/03/2017,,Electronic Intelligence,,,,"6,500",42065,USA,USA 274,National Reconnaissance Office (NRO)/US Navy,"1009km � 1204km, 63.4�",107.4,Non-Polar Inclined,Military,60e5620d98df02cf3580069a
Earth Observation,LEO,26/09/2016,"Funded and built in India to join an international fleet of orbiting radars designed to track hurricanes, typhoons and other tropical cyclones.",Meteorology/Earth Science,,5,,371,41790,India,ScatSat-1,Indian Space Research Organization (ISRO),"717km � 731km, 98.1�",99.3,Sun-Synchronous,Government,60e5620d98df02cf3580069b
Earth Observation,LEO,09/02/1993,Collects meteorological and environmental data on the Amazon region; barely functioning.,Meteorology/Earth Science,,3,,110,22491,Brazil,SCD-1,Instituto Nacional de Pesquisas Espaciais (INPE),"716km � 776km, 25�",99.7,Non-Polar Inclined,Government,60e5620d98df02cf3580069c
Earth Observation,LEO,23/10/1998,Collects meteorological and environmental data on the Amazon region,Meteorology/Earth Science,,3,,110,25504,Brazil,SCD-2,Instituto Nacional de Pesquisas Espaciais (INPE),"735km � 760km, 25�",99.8,Non-Polar Inclined,Government,60e5620d98df02cf3580069d
Space Science,LEO,12/08/2003,ACE experiments in space.,,,,,150,27858,Canada,Scisat-1,Canadian Space Agency,"638km � 649km, 73.9�",97.6,Polar,Government,60e5620d98df02cf3580069e
Space Science,GEO,11/02/2010,"Carries three instruments to study the Sun at high time and spatial resolution: HMI, AIA, and EVE.",,,5,,"3,100",36395,USA,SDO,National Aeronautics and Space Administration (NASA),"35779km � 35791km, 28�",1436.03,,Government,60e5620d98df02cf3580069f
Communications,Elliptical,31/08/2004,Real-time data relay from reconnaissance satellites.,Data Relay,,10,,,28384,USA,USA 179,National Reconnaissance Office (NRO)/US Air Force,"500km � 39850km, 63.4�",717.7,Molniya,Military,60e5620d98df02cf358006a0
Communications,Elliptical,10/12/2007,Real-time data relay from reconnaissance satellites.,Data Relay,,10,,,32378,USA,USA 198,National Reconnaissance Office (NRO)/US Air Force,"400km � 39966km, 60�",718,Molniya,Military,60e5620d98df02cf358006a1
Communications,GEO,02/03/2011,Real-time data relay from reconnaissance satellites.,Data Relay,,,,,37377,USA,USA 227,National Reconnaissance Office (NRO)/US Air Force,"35770km � 35803km, 4.7�",1436.1,,Military,60e5620d98df02cf358006a2
Communications,GEO,20/06/2012,Real-time data relay from reconnissance satellites.,Data Relay,,,,,38466,USA,USA 236,National Reconnaissance Office (NRO)/US Air Force,"35771km � 35805km, 3.8�",1436.1,,Military,60e5620d98df02cf358006a3
Communications,GEO,22/05/2014,Real-time data relay from reconnissance satellites.,Data Relay,,,,,39751,USA,USA 252,National Reconnaissance Office (NRO)/US Air Force,"35500km � 35500km, 4�",1436.1,,Military,60e5620d98df02cf358006a4
Communications,GEO,28/07/2016,Possible 4th generation of data relay satellites.,Data Relay,,,,,41724,USA,USA 269,National Reconnaissance Office (NRO)/US Air Force,"35777km � 35796km, 4.92�",1436.1,,Military,60e5620d98df02cf358006a5
Communications,GEO,15/10/2017,Second of 4th generation.,Data Relay,,,,,42949,USA,USA 279,National Reconnaissance Office (NRO)/US Air Force,"35786km � 35802km, 4.9�",1436.1,,Military,60e5620d98df02cf358006a6
Technology Development,LEO,17/05/2012,Several technology demonstration experiments and including an experiment to monitor AIS (Automatic Information System) messages transmitted from ships at sea.,,,2,,50,38339,Japan,SDS-4,Japan Aerospace Exploration Agency (JAXA),"661km � 673km, 98.2�",98.1,Sun-Synchronous,Government,60e5620d98df02cf358006a7
Earth Observation,LEO,03/12/2018,"Will image the world's ocean for color (SOCON: Sustained Ocean Color Observations with Nanosatellites) to assess health. Prototype for a larger constellation.",Multispectral Imaging,,,,4,43820,USA,Seahawk-1,University of North Carolina - Wilmington,"573km � 587km, 97.7�",96.3,Sun-Synchronous,Civil,60e5620d98df02cf358006a8
Technology Development,LEO,28/04/2008,Will download telemetry in Morse code and 1200-baud FM.,,,,,3,32791,Japan,SEEDS 2,Nihon University,"607km � 627km, 97.8�",97,Sun-Synchronous,Civil,60e5620d98df02cf358006a9
Earth Observation,LEO,03/12/2018,Real time situational awareness for troops on the ground with handheld devices. Possible constellation consisting of about 24 satellites. ,Optical Imaging,,,,25,43822,USA,SeeMe,Defense Advanced Research Projects Agency (DARPA),"573km � 590km, 97.8�",96.3,Sun-Synchronous,Military,60e5620d98df02cf358006aa
Earth Observation,LEO,25/04/2018,,Earth Science,,7,,"2,300",43437,ESA,Sentinel 3B,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"802km � 815km, 98.6�",101.1,Sun-Synchronous,Government,60e5620d98df02cf358006ab
Earth Observation,LEO,03/04/2014,"Part of ESA's Copernicus constellation, the EU contribution to GEOSS (Global Earth Observation System of Systems).",Earth Science,,7,,"2,300",39634,ESA,Sentinel 1A,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"691km � 693km, 98.16�",98.61,Sun-Synchronous,Government,60e5620d98df02cf358006ac
Earth Observation,LEO,25/04/2016,,Earth Science,,7,,"2,300",41456,ESA,Sentinel 1B,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"695km � 697km, 98.1�",98.7,Sun-Synchronous,Government,60e5620d98df02cf358006ad
Earth Observation,LEO,23/06/2015,"Part of ESA's Copernicus constellation, the EU contribution to GEOSS (Global Earth Observation System of Systems).",Earth Science,,7,,"1,130",40697,ESA,Sentinel 2A,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"787km � 788km, 98.5�",100.62,Sun-Synchronous,Government,60e5620d98df02cf358006ae
Earth Observation,LEO,06/03/2017,,Earth Science,,7,,"1,130",42063,ESA,Sentinel 2B,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"777km � 779km, 98.5�",100.4,Sun-Synchronous,Government,60e5620d98df02cf358006af
Earth Observation,LEO,16/02/2016,,Earth Science,,7,,"2,300",41335,ESA,Sentinel 3A,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"802km � 804km, 98.6�",100.9,Sun-Synchronous,Government,60e5620d98df02cf358006b0
Earth Observation,LEO,13/10/2017,First Copernicus satellite dedicated to tracking changes in Earth�s atmosphere. Tropomi spectrometer will detect atmospheric composition at a scale of 4.3 miles by 2.2 miles (7 kilometers by 3.5 kilometers).,Earth Science,,7,,820,42969,ESA,Sentinel 5P,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"816km � 819km, 98.7�",101.2,Sun-Synchronous,Government,60e5620d98df02cf358006b1
Communications,GEO,24/04/2010,"24 C-band; 24 Ku-band, CONUS.",,,15,,,36516,Luxembourg,SES-1,SES S.A.,"35781km � 35793km, 0.05�",1436.1,,Commercial,60e5620d98df02cf358006b2
Communications,GEO,30/03/2017,Primarily for video and the development of Ultra HD.,,,15,,"5,271",42432,Luxembourg,SES-10,SES S.A.,"35777km � 35799km, 0�",1436.1,,Commercial,60e5620d98df02cf358006b3
Communications,GEO,11/10/2017,SES will control the 24 C-band transponders; EchoStar the 24 Ku-band transponders.,,,15,,"5,200",42967,Luxembourg,SES-11/EchoStar 105,"SES S.A./EchoStar Satellite Services, LLC","35785km � 35801km, 0�",1436,,Commercial,60e5620d98df02cf358006b4
Communications,GEO,04/06/2018,"Carries plasma thrusters mounted to articulating robotic arms for nearly all its in-orbit maneuvers, eliminating the need for large conventional liquid propellant tanks.",,,15,,"5,300",43488,Luxembourg,SES-12,SES S.A.,"35785km � 35785km, 0�",1436,,Commercial ,60e5620d98df02cf358006b5
Communications,GEO,25/01/2018,Placed into the wrong transfer orbit; working its way up and should be totally operational.,,,15,,"4,423",43175,Luxembourg,SES-14,SES S.A.,"35785km � 35785km, 0�",1436,,Commercial,60e5620d98df02cf358006b6
Communications,GEO,18/05/2017,Powered exclusively by xenon-fed electric thrusters,,,18,,,42709,Luxembourg,SES-15,SES S.A.,"35777km � 35777km, 0�",1436.1,,Commercial,60e5620d98df02cf358006b7
Communications,GEO,21/09/2011,24 active C-band and 24 Ku-band transponders;  provides comprehensive coverage of North America and the Caribbean. Also features the Commercially Hosted InfraRed Payload (CHIRP) for U.S. Air Force--wide-field of view sensor to validate space-based infrared technologies from geosynchronous orbit.,,,18,,"3,200",37809,Luxembourg,SES-2,SES S.A.,"35778km � 35798km, 0.01�",1436.19,,Commercial,60e5620d98df02cf358006b8
Communications,GEO,15/07/2011,"24 C-band; 24 Ku-band, CONUS.",,,15,,"3,112",37748,Luxembourg,SES-3,SES S.A.,"35850km � 35852km, 0.05�",1439.41,,Commercial,60e5620d98df02cf358006b9
Communications,GEO,14/02/2012,"52 C-band; 72 Ku-band, Americas, Europe, Africa and the Middle East. ",,,15,,,38087,Luxembourg,SES-4,SES S.A.,"35781km � 35792km, 0.05�",1436.1,,Commercial,60e5620d98df02cf358006ba
Communications,GEO,09/07/2012,24 C-band transponders and 36 Ku-band transponders. Also carries hosted L-band payload for the European Commission�s European Geostationary Navigation Overlay Service (EGNOS).,,,15,,"6,007",38652,Luxembourg,SES-5,SES S.A.,"35783km � 35791km, 0.13�",1436.12,,Commercial,60e5620d98df02cf358006bb
Communications,GEO,03/06/2013,Direct-to home broadcasts and VSat terminal services - Atlantic Ocean region.,,,15,,"6,140",39172,Luxembourg,SES-6,SES S.A.,"35757km � 35816km, 0.13�",1436.09,,Commercial,60e5620d98df02cf358006bc
Communications,GEO,16/05/2009,"13 S-band, 27 Ku-band transponders, covers Indonesia, india, Taiwan and the Philippines. Purchased at auction in Dec. 2009 for $185 million.",,,15,,"4,007",34941,Luxembourg,SES-7,SES S.A.,"35783km � 35790km, 0.03�",1436.1,,Commercial,60e5620d98df02cf358006bd
Communications,GEO,03/12/2013,Direct broadcast TV and communications network services to India and south-east Asia.,,,15,,"3,138",39460,Luxembourg,SES-8,SES S.A.,"35777km � 35795km, 0.02�",1436.07,,Commercial,60e5620d98df02cf358006be
Communications,GEO,04/03/2016,"All Ku-band, 57 transponders.  Asia-Pacific region",,,15,,"5,271",41380,Luxembourg,SES-9,SES S.A.,"35787km � 35791km, 0.05�",1436.2,,Commercial,60e5620d98df02cf358006bf
Communications,GEO,04/05/2017,"Joint venture, commercial and Brazilian Air Force. 57 Ka-band and X-band transponders.",,,18,,"5,735",42692,Brazil,SGDC,Telebras/Brazilian Air Force,"35775km � 35798km, 0�",1436.11,,Commercial/Military,60e5620d98df02cf358006c0
Technology Development,LEO,02/02/2018,"First satellite developed by teenagers as part of an outreach project to engage youth in thinking about space, STEAM education, and even satellite development.",,,,,3,43199,China,Shaonian Xing,Teen Satellite Project,"483km � 507km, 97.3�",94.5,Sun-Synchronous,Civil,60e5620d98df02cf358006c1
Space Science,LEO,16/12/2018,"Study variations in the plasma density of the ionosphere by collecting high-frequency radio signals, including those from natural galactic background emissions, from Jupiter, and from transmitters on Earth.",,,,,5,43860,USA,SHFT,Defense Advanced Research Projects Agency (DARPA),"495km � 511km, 85.04�",94.7,Polar,Military,60e5620d98df02cf358006c2
Technology Development,LEO,16/12/2018,Technology demonstration of environmentally durable space hardware,,,,,4,43850,USA,Shields 1,NASA Langley Research Center,"514km � 594km, 85.03�",94.7,Polar,Government,60e5620d98df02cf358006c3
Space Science,LEO,12/11/2009,Monitor space environment; conduct several experiments.,,,3,,,36088,China,Shijian 11 01,China Academy of Space Technology (CAST),"686km � 703km, 98.1�",98.7,Sun-Synchronous,Government,60e5620d98df02cf358006c4
Technology Development,LEO,29/07/2011,Conduct various technology and environmental experiments.,,,,,,37765,China,Shijian 11 02,China Academy of Space Technology (CAST),"686km � 704km, 98.2�",98.7,Sun-Synchronous,Government,60e5620d98df02cf358006c5
Technology Development,LEO,06/07/2011,Conduct various technology and environmental experiments.,,,,,,37730,China,Shijian 11 03,China Academy of Space Technology (CAST),"688km � 703km, 98.2�",98.7,Sun-Synchronous,Government,60e5620d98df02cf358006c6
Technology Development,LEO,15/07/2013,Replacement for 11-04.,,,,,,39202,China,Shijian 11 05,China Academy of Space Technology (CAST),"689km � 704km, 98.1�",98.7,Sun-Synchronous,Government,60e5620d98df02cf358006c7
Technology Development,LEO,31/03/2014,,,,,,,39624,China,Shijian 11 06,China Academy of Space Technology (CAST),"688km � 704km, 98.26�",98.69,Sun-Synchronous,Government,60e5620d98df02cf358006c8
Technology Development,LEO,28/09/2014,Orbit suggests an earth observation role.,,,,,,40261,China,Shijian 11 07,China Academy of Space Technology (CAST),"687km � 705km, 98.12�",98.69,Sun-Synchronous,Government,60e5620d98df02cf358006c9
Technology Development,LEO,27/10/2014,Orbit suggests an earth observation role.,,,,,,40286,China,Shijian 11 08,China Academy of Space Technology (CAST),"690km � 705km, 98.2�",98.6,Sun-Synchronous,Government,60e5620d98df02cf358006ca
Technology Development,LEO,15/06/2010,Conduct various technology and environmental experiments.,,,,,,36596,China,Shijian 12,China Academy of Space Technology (CAST),"583km � 601km, 97.7�",96.5,Sun-Synchronous,Government,60e5620d98df02cf358006cb
Technology Development,GEO,12/04/2017,"First Chinese GEO satellite to use electric thrusters.  26 user beams covering China and offshore areas, and will service for distance learning, medicine, internet access, airborne and maritime communications and emergency communications.",,,,,"4,600",42662,China,Shijian 13,China Academy of Space Technology (CAST),"35756km � 35816km, 0�",1436.1,,Government,60e5620d98df02cf358006cc
Technology Development,LEO,19/07/2013,,,,,,,39210,China,Shijian 15,China Academy of Space Technology (CAST),"661km � 673km, 98.06�",98.08,Sun-Synchronous,Government,60e5620d98df02cf358006cd
Technology Development,LEO,25/10/2013,Conducting space environment exploration and technological experiments.,,,,,,39358,China,Shijian 16 01,China Academy of Space Technology (CAST),"599km � 616km, 74.98�",96.85,Polar,Government,60e5620d98df02cf358006ce
Technology Development,LEO,29/06/2016,Conducting space environment exploration and technological experiments.,,,,,,41634,China,Shijian 16 02,China Academy of Space Technology (CAST),"338km � 594km, 75�",96.81,Polar,Government,60e5620d98df02cf358006cf
Technology Development,GEO,03/11/2016,"Communications, demonstration of navigation, a demonstration of an optical-sensing payload to observe space debris at high altitude. The optical sensor can also be used for Space Situational Awareness.",,,,,"3,800",41838,China,Shijian 17,China Satellite Communication Corp. (China Satcom),"35777km � 35796km, 0.8�",1435.8,,Government,60e5620d98df02cf358006d0
Technology Development,GEO,27/12/2019,Biggest Chinese communications satellite built. Huge capacity.,,,20,,"7,600",44910,China,Shijian 20,China Aerospace Science and Technology Corporation (CASC) ,"35751km � 35824km, 0.01�",1436.1,,Government,60e5620d98df02cf358006d1
Space Science,LEO,08/09/2004,Monitor space radiation.,,,2,,,28413,China,Shijian 6A,China Academy of Space Technology (CAST),"579km � 606km, 97.8�",96.5,Sun-Synchronous,Government,60e5620d98df02cf358006d2
Space Science,LEO,08/09/2004,Monitor space radiation.,,,2,,,28414,China,Shijian 6B,China Academy of Space Technology (CAST),"587km � 598km, 97.8�",96.5,Sun-Synchronous,Government,60e5620d98df02cf358006d3
Space Science,LEO,23/10/2006,Radiation detectors and other space environment-related instruments.,,,,,,29505,China,Shijian 6C,China Academy of Space Technology (CAST),"591km � 594km, 97.7�",96.5,Sun-Synchronous,Government,60e5620d98df02cf358006d4
Space Science,LEO,23/10/2006,Radiation detectors and other space environment-related instruments.,,,,,,29506,China,Shijian 6D,China Academy of Space Technology (CAST),"594km � 595km, 97.7�",96.6,Sun-Synchronous,Government,60e5620d98df02cf358006d5
Space Science,LEO,25/10/2008,Monitor space environment; conduct several experiments.,,,3,,,33408,China,Shijian 6E,China Academy of Space Technology (CAST),"581km � 607km, 97.6�",96.6,Sun-Synchronous,Government,60e5620d98df02cf358006d6
Space Science,LEO,25/10/2008,Monitor space environment; conduct several experiments.,,,3,,,33409,China,Shijian 6F,China Academy of Space Technology (CAST),"578km � 603km, 97.6�",96.5,Sun-Synchronous,Government,60e5620d98df02cf358006d7
Earth Observation,LEO,06/10/2010,Possible reconnaissance function.,,,,,,37179,China,Shijian 6G,China Academy of Space Technology (CAST),"584km � 603km, 97.7�",96.6,Sun-Synchronous,Government,60e5620d98df02cf358006d8
Earth Observation,LEO,06/10/2010,Possible reconnaissance function.,,,,,,37180,China,Shijian 6H,China Academy of Space Technology (CAST),"586km � 602km, 97.7�",96.6,Sun-Synchronous,Government,60e5620d98df02cf358006d9
Space Science,LEO,05/07/2005,Monitor space environment; conduct several experiments.,,,3,,,28737,China,Shijian 7,China Academy of Space Technology (CAST),"534km � 591km, 97.7�",95.9,Sun-Synchronous,Government,60e5620d98df02cf358006da
Technology Development,LEO,14/10/2012,Focus on satellite reliability demonstrations and validating high-performance Chinese-made technologies.,,,,,,38860,China,Shijian 9A,Shanghai Academy of Spaceflight Technology (SAST),"623km � 650km, 97.99�",97.44,Sun-Synchronous,Government,60e5620d98df02cf358006db
Technology Development,LEO,14/10/2012,Focus on satellite reliability demonstrations and validating high-performance Chinese-made technologies.,,,,,,38861,China,Shijian 9B,Shanghai Academy of Spaceflight Technology (SAST),"624km � 651km, 97.99�",97.46,Sun-Synchronous,Government,60e5620d98df02cf358006dc
Earth Observation,LEO,18/04/2004,"Stereo mapping; photographic surveys of China's land resources, monitor environment, mapping.",,,,,204,28220,China,Shiyan 1,China Academy of Space Technology (CAST),"586km � 601km, 97.5�",96.6,Sun-Synchronous,Government,60e5620d98df02cf358006dd
Earth Observation,LEO,05/11/2008,Experiments on new technologies in atmospheric exploration.,,,,,300,33433,China,Shiyan 3,China Academy of Space Technology (CAST),"785km � 803km, 98.5�",100.8,Sun-Synchronous,Government,60e5620d98df02cf358006de
Earth Observation,LEO,20/11/2011,Study the environment and test new space technologies.,,,,,300,37931,China,Shiyan 4,China Academy of Space Technology (CAST),"784km � 802km, 98.4�",100.7,Sun-Synchronous,Government,60e5620d98df02cf358006df
Earth Observation,LEO,25/11/2013,Remote sensing and research.,,,,,204,39455,China,Shiyan 5,China Academy of Space Technology (CAST),"739km � 755km, 97.9�",99.7,Sun-Synchronous,Government,60e5620d98df02cf358006e0
Space Science,LEO,19/11/2018,"""Space environment exploration experiments.""",,,,,,43710,China,Shiyan 6-01,China Academy of Space Technology (CAST),"488km � 504km, 97.4�",99.6,Sun-Synchronous,Government,60e5620d98df02cf358006e1
Space Science,LEO,04/07/2020,Experimental satellite - space science.,,,,,,45859,China,Shiyan 6-02,China Academy of Space Technology (CAST),"686km � 706km, 98.2�",98.6,Sun-Synchronous,Government,60e5620d98df02cf358006e2
Technology Development,LEO,19/07/2013,Possibly testing systems for detection of orbiting space debris or tracking missile launches.,,,,,,39208,China,Shiyan 7,China Academy of Space Technology (CAST),"668km � 672km, 98.06�",98.15,Sun-Synchronous,Military,60e5620d98df02cf358006e3
Communications,GEO,07/02/2001,"Italy's first military satellite; communications to fixed and mobile terminals. Extremely High Frequency (EHF), SHF, UHF broadcast frequencies. On-board failure in 2006, but operations recovered.",,,12,,"2,596",26694,Italy,Sicral 1A,Italian Defense Ministry,"35769km � 35802km, 1.01�",1436.06,,Military,60e5620d98df02cf358006e4
Communications,GEO,20/04/2009,One third paid for by Telespazio; will use some transponders for approved government customers.,,,12,,"3,038",34810,Italy,Sicral 1B,Italian Defense Ministry/Telespazio,"35788km � 35802km, 0.04�",1436.52,,Military/Commercial,60e5620d98df02cf358006e5
Communications,GEO,26/04/2015,"Military communications payloads from both Italy and France, shared satellite bus.",,,15,,"4,400",40614,France/Italy,Sicral 2/Syracuse 3C,Italian Defense Ministry/French Defense Ministry,"35770km � 35800km, 0�",1436,,Military,60e5620d98df02cf358006e6
Communications,LEO,27/10/2005,"""Telecommunications and research."" ""Take pictures of Iran and to monitor natural disasters in the earthquake-prone nation.""",,,3,,170,28893,Iran,Sinah-1,Iranian Research Organization for Science and Technology (IROST),"681km � 703km, 97.9�",98.6,Sun-Synchronous,Government,60e5620d98df02cf358006e7
Technology Demonstration,LEO,08/10/2015,Demonstration of software defined radio communications.,,,,,2,40974,USA,SINOD D-1,SRI International,"494km � 800km, 64.78�",97.67,Non-Polar Inclined,Commercial,60e5620d98df02cf358006e8
Technology Demonstration,LEO,08/10/2015,Demonstration of software defined radio communications.,,,,,2,40977,USA,SINOD D-3,SRI International,"494km � 800km, 64.78�",97.66,Non-Polar Inclined,Commercial,60e5620d98df02cf358006e9
Communications,GEO,04/09/2010,"Television and radio across China. 1 S-band, 24 C-band, and 8 Ku-band transponders. Backup for Sinosat 3.",,,15,,"5,000",37150,China,Sinosat-6,China Satellite Communication Corp. (China Satcom),"35794km � 35796km, 0.3�",1436.1,,Commercial,60e5620d98df02cf358006ea
Communications,Elliptical,30/06/2000,"Relay music, news, entertainment directly to motorists in the USA; a fourth satellite is stored on the ground for rapid replacement, if necessary.",,,15,,"3,727",26390,USA,Sirius-1 (SD Radio 1),Sirius XM Holdings,"23783km � 47100km, 63.3�",1418.5,Molniya,Commercial,60e5620d98df02cf358006eb
Communications,Elliptical,05/09/2000,"Relay music, news, entertainment directly to motorists in the USA.",,,15,,"3,792",26483,USA,Sirius 2 (SD Radio 2),Sirius XM Holdings,"12849km � 47048km, 63.3�",1148.43,Molniya,Commercial,60e5620d98df02cf358006ec
Communications,Elliptical,30/11/2000,"Relay music, news, entertainment directly to motorists in the USA.",,,15,,"3,727",26626,USA,Sirius 3 (SD Radio 3),Sirius XM Holdings,"6179km � 47086km, 63.4�",994.83,Molniya,Commercial,60e5620d98df02cf358006ed
Communications,GEO,17/11/2007,52 Ku-band and 2 Ka-band transponders; service to Europe and sub-Saharan Africa.,,,15,,"4,400",32299,Sweden,Sirius 4,SES S.A.,"35776km � 35795km, 0.04�",1436.1,,Commercial,60e5620d98df02cf358006ee
Communications,GEO,30/06/2009,First in geostationary orbit.,,,15,,"5,800",35493,USA,Sirius FM-5,Sirius XM Holdings,"35774km � 35798km, 0�",1436,,Commercial,60e5620d98df02cf358006ef
Communications,GEO,25/10/2013,"Provide service the continental USA including digital audio radio broadcast directly to cars, homes and portable radios.",,,15,,"6,020",39360,USA,Sirius FM-6,Sirius XM Holdings,"35785km � 35791km, 0.08�",1436.16,,Commercial,60e5620d98df02cf358006f0
Communications,GEO,14/10/2010,Direct radio broadcasting.,,,15,,"5,983",37185,USA,Sirius XM-5,Sirius XM Holdings,"35779km � 35795km, 0.03�",1436.12,,Commercial,60e5620d98df02cf358006f1
Space Science,LEO,15/08/2018,Built by Russian school children under supervision at SPUTNIX education center. Also carries amateur radio package.,,,,,1,43595,Russia,SiriusSat-1,SPUTNIX Ltd.,"402km � 404km, 51.6�",92.6,Non-Polar Inclined,Civil,60e5620d98df02cf358006f2
Space Science,LEO,15/08/2018,,,,,,1,43596,Russia,SiriusSat-2,SPUTNIX Ltd.,"400km � 408km, 51.6�",92.6,Non-Polar Inclined,Civil,60e5620d98df02cf358006f3
Communications,GEO,27/05/2015,First satellite for Sky Mexico.,,,18,,"3,180",40664,Mexico,Sky Mexico-1,Sky Mexico,"35788km � 35800km, 0�",1436,,Commercial,60e5620d98df02cf358006f4
Communications,GEO,30/09/2015,NBN is a government-owned corporation created to provide broadband to remote areas of Australia.,,,15,,"6,440",40940,Australia,Sky Muster 1,NBN Co (operated by Optus),"35744km � 35777km, 0.07�",1434.76,,Commercial,60e5620d98df02cf358006f5
Communications,GEO,05/10/2016,Secone satellite built to guarantee internet to all Australians.,,,15,,"6,405",41794,Australia,Sky Muster 2,NBN Co (operated by Optus),"35790km � 35798km, 0�",1436.1,,Commercial,60e5620d98df02cf358006f6
Communications,GEO,14/02/2017,High definition television broadcast capacity. Intelsat is a minority owner. ,,,15,,"6,000",41945,Brazil,SkyBrasil-1 (Intelsat 32E),DirecTV Latin America/Intelsat,"35785km � 35787km, 0�",1436,,Commercial,60e5620d98df02cf358006f7
